mode,raw_precision,raw_recall,raw_f1,final_precision,final_recall,final_f1,support
walk,0.9581176470588235,0.9353393821063513,0.946591503457895,0.9587489225464845,0.8942230389341909,0.9253624910862848,8707
bike,0.39037698412698413,0.6316211878009631,0.48252605763335377,0.33454281567489114,0.36998394863563405,0.3513719512195122,1246
car,0.07308970099667775,0.6186726659167604,0.13073449013548846,0.0924869234427009,0.437570303712036,0.15269872423945044,889
bus,0.7426470588235294,0.018815201192250372,0.03670058139534884,0.7142857142857143,0.010245901639344262,0.020202020202020204,5368
rail,1.0,0.001015744032503809,0.0020294266869609334,0.20013645667500568,0.44692737430167595,0.276468740182218,1969
