category,count,percentage
KEPT_CORRECT,47163,0.6205249654627985
FIXED_BY_FINAL,2738,0.036023945793039934
BROKEN_BY_FINAL,14152,0.1861982764291823
STILL_WRONG,11952,0.15725281231497928
