scenario,window_count,raw_accuracy,final_accuracy,difference
bike,2691,0.43255295429208473,0.12857673727238944,-0.3039762170196953
bus,2355,0.2751592356687898,0.04628450106157112,-0.2288747346072187
car,1920,0.3921875,0.134375,-0.2578125
multimodal,59540,0.8461874370171314,0.6874706079946254,-0.1587168290225059
rail,826,0.00847457627118644,0.847457627118644,0.8389830508474576
walk,8673,0.9640262884814943,0.8712095007494524,-0.09281678773204197
