ground_truth,prediction,count
bus,rail,2364
bus,car,2237
rail,car,1004
bike,rail,465
walk,rail,456
bus,bike,409
bike,car,310
bus,walk,303
walk,car,266
car,bike,243
car,rail,232
walk,bike,199
rail,bike,66
car,walk,24
rail,bus,11
bike,bus,10
rail,walk,8
car,bus,1
