mode,raw_precision,raw_recall,raw_f1,final_precision,final_recall,final_f1,support
walk,0.976802806225873,0.9517389437526835,0.9641080065416333,0.983175827435691,0.7969085444396736,0.8802967207049962,58225
bike,0.45602836879432623,0.5060003934684242,0.47971649724890425,0.6051724137931035,0.06905370843989769,0.12396256401200777,5083
car,0.12231947483588622,0.40982404692082114,0.18840579710144928,0.23852385238523852,0.0971407624633431,0.13805678562125553,2728
bus,0.48639532268945357,0.3060271646859083,0.3756838905775076,0.24776785714285715,0.015704584040747028,0.029536987759446513,7068
rail,1.0,0.016201309893140295,0.03188602442333786,0.10400419916016797,0.9562219924164082,0.1876035572988875,2901
