mode,baseline_f1,updated_f1,difference,baseline_precision,updated_precision,baseline_recall,updated_recall
walk,0.8802967207049962,0.9585062967439091,0.07820957603891288,0.983175827435691,0.9778953199549686,0.7969085444396736,0.939871189351653
bike,0.12396256401200777,0.3825107296137339,0.2585481656017261,0.6051724137931035,0.6009270965023178,0.06905370843989769,0.28054298642533937
car,0.13805678562125553,0.17451142306633635,0.03645463744508082,0.23852385238523852,0.1397091229616571,0.0971407624633431,0.23240469208211142
bus,0.029536987759446513,0.11706396034930375,0.08752697258985723,0.24776785714285715,0.352773826458037,0.015704584040747028,0.07017543859649122
rail,0.1876035572988875,0.3280010937927263,0.1403975364938388,0.10400419916016797,0.20457064892982008,0.9562219924164082,0.8269562219924164
