metric,baseline,updated,difference
accuracy,0.6565489112558385,0.785198342214328,0.12864943095848957
macro_precision,0.4357288299834116,0.4551752029613601,0.01944637297794849
macro_recall,0.3870059183600139,0.46999010568960226,0.08298418732958834
macro_f1,0.2718913230793187,0.3921187007132019,0.12022737763388319
weighted_f1,0.6975199333768052,0.7895314462667884,0.09201151288998322
