candidate,KEPT_CORRECT,FIXED_BY_FINAL,BROKEN_BY_FINAL,STILL_WRONG,net_correction
baseline,47163,2738,14152,11952,-11414
selected_A_strict_score,57323,2356,3992,12334,-1636
