stop_id,stop_name,ars_id,latitude,longitude,source,coordinate_source,coordinate_status
100000047,상명대입구.세검정교회,01142,37.5996163318,126.9592405649,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000048,세검정.세검정성당,01143,37.6006470965,126.959155798,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000049,세검정초등학교,01144,37.6022680671,126.9614328894,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000051,국민은행세검정지점,01146,37.604846,126.961195,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000053,승가사입구,01148,37.6115844138,126.9563059978,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000054,구기동현대빌라,01149,37.6100355035,126.9564575503,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000055,구기터널.삼성출판박물관,01150,37.6086098941,126.9562103294,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000056,구기터널.삼성출판박물관,01151,37.6083054034,126.9564166508,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000057,구기동,01152,37.6069644475,126.9585297928,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000058,구기동,01153,37.6070088003,126.9591017479,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000059,승가사입구,01154,37.61148,126.956482,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000060,갑을씨티텔앞,01155,37.6043709709,126.9635350292,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000061,평창파출소,01156,37.6053223656,126.9660432906,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000062,평창동주민센터,01157,37.6066073749,126.9695663093,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000063,일성아파트,01158,37.608873,126.972925,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000064,롯데아파트,01159,37.61039,126.976317,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000065,롯데아파트,01160,37.610248,126.976652,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000066,벽산평창힐스아파트,01161,37.60819,126.972797,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000067,예능교회,01162,37.606517,126.97,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000068,서울예술고등학교.평창동주민센터,01163,37.6057787606,126.9676276108,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000069,화정박물관,01164,37.6045038178,126.9648102665,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000072,독립문역.서대문형무소역사관,01167,37.573395,126.959322,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000073,금화초등학교.서울시교육청,01168,37.568297,126.964532,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000075,독립문,01171,37.571342,126.96143,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000076,창덕궁.우리소리박물관,01172,37.5775405746,126.9885394479,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000077,서린동.SK서린빌딩,01173,37.569263,126.980095,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000078,청계1가.장통교,01174,37.568684389,126.9849267193,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000079,청계2가.수표교,01175,37.568442,126.99082,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000080,청계4가.세운교,01176,37.568927,126.996555,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000081,청계5가.광장시장,01177,37.5694512793,126.9997973605,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000102,원남동,01198,37.5745325055,126.9973383362,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000103,창덕궁.우리소리박물관,01199,37.577272,126.988954,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000104,안국역6번출구.인사동문화의거리,01200,37.575798979,126.9841344381,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000105,조계사.종로경찰서,01201,37.5725223095,126.9831555803,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000106,조계사.종로경찰서,01202,37.5724858087,126.9828258888,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000107,안국동사거리,01203,37.5746105669,126.9827201116,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000108,효제동.김상옥의거터,01204,37.5745,127.00223,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000109,종로5가.효제초등학교,01205,37.5728790133,127.0021442279,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000116,종로5가역6번출구,01212,37.5705596025,127.0021826522,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000117,청계5가.마전교,01213,37.5698351103,127.0028494203,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000118,동대문,01214,37.5717262368,127.0084126252,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000119,충신동,01215,37.5740223509,127.006278812,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000121,충신동,01217,37.5744602778,127.0063433807,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000122,연지공원앞.현대그룹빌딩,01218,37.5759104142,127.0008065808,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000123,방송통신대.이화장,01219,37.578043,127.002437,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000124,혜화역2번출구.마로니에공원,01220,37.5811194873,127.0022769364,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000125,혜화역3번출구.서울대병원입구,01221,37.5809559696,127.0018481852,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000126,방송통신대.이화장,01222,37.577788,127.001977,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000127,연지공원앞.현대그룹빌딩,01223,37.576119355,127.0006951494,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000128,창경궁.서울대학교병원,01224,37.5788279947,126.9968717143,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000129,이화동(이화장),01225,37.5759372914,127.0032708172,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000130,혜화동로터리,01226,37.58558,127.000687,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000131,명륜동2가.성균관대입구,01227,37.5834170764,126.9993412723,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000132,혜화역.서울연극센터(장면총리가옥),01228,37.5840306853,127.0014608831,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000133,혜화역.동성중고(장면총리가옥),01229,37.5845329425,127.0015561579,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000135,종로구민회관.창신동두산아파트,01231,37.5740926792,127.0155555279,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000139,동묘앞역6번출구,01235,37.5716849566,127.0156014431,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000140,동묘앞역5번출구,01236,37.5719221488,127.0159450485,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000142,창신3동주민센터,01238,37.578413,127.015178,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000143,숭인1동주민센터.창신역4번출구,01239,37.578625,127.015462,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000144,동묘앞역.롯데캐슬천지인,01240,37.5741800523,127.0158023517,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000147,신설동역오거리,01243,37.5756947252,127.0228414296,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000150,구기동현대빌라,01246,37.609682,126.956622,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000151,광장시장,01247,37.569470801,126.9977437946,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000153,서울특별시재향군인회관,01249,37.5725807445,126.9974787875,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000154,서울역사박물관,01250,37.5699003386,126.9721318077,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000155,청계3가.관수교,01251,37.5686887917,126.9937793705,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000156,청계6가.버들다리,01252,37.5699303868,127.0080377075,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000157,청계7가.맑은내다리,01253,37.57004,127.013093,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000158,청계8가.영도교,01254,37.570895,127.018128,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
