route_id,route_no,route_name,stop_sequence,stop_id,stop_name,ars_id,longitude,latitude,source,coordinate_source,coordinate_status
109900001,도봉01,도봉01,1,109000118,쌍문동우이빌라,10203,127.01802,37.657407,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100295,5611,5611,1,117000138,가산디지털단지역4번출구,18226,126.883117,37.481417,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
116900018,양천04,양천04,1,116000381,신도림동아3차아파트,17855,126.883688,37.510209,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
115000009,N6002,N6002,1,105000407,청량리역,06755,127.046268,37.580477,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100513,6100,6100,1,106000427,망우역,07771,127.092595999,37.5986607304,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100020,141,141,1,109000068,도봉산입구,10153,127.040722,37.687083,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100021,142,142,1,109000068,도봉산입구,10153,127.040722,37.687083,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100143,1127,1127,1,109000068,도봉산입구,10153,127.040722,37.687083,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100144,1128,1128,1,109000068,도봉산입구,10153,127.040722,37.687083,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100213,3214,3214,1,123000337,남한산성입구,24429,127.157278,37.49096,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100151,1136,1136,1,110000384,월계동진아교통,11486,127.06447,37.627618,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100037,172,172,1,110000387,한성여객종점,11489,127.070635,37.637536,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
