opr_ymd,route_id,route_no,route_name,stop_sequence,stop_id,stop_name,city_code,sgg_cd,emd_cd,ctpv_nm,sgg_nm,emd_nm,trfc_mns_se_cd,latitude,longitude,source,coordinate_status,latitude_resolved,longitude_resolved,coordinate_source,match_type
20250801,00000003,매월06,매월06,55,00001266,금호모아아파트,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000003,매월06,매월06,56,00000748,서구문화센터,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000003,매월06,매월06,57,00000303,마재대주아파트,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000003,매월06,매월06,58,00002955,풍암사거리(동),29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000003,매월06,매월06,59,00001759,화훼단지,29,29140,2914013200,광주광역시,서구,매월동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000003,매월06,매월06,60,00001760,대동고,29,29140,2914013200,광주광역시,서구,매월동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000003,매월06,매월06,61,00002185,매월동(북),29,29140,2914013200,광주광역시,서구,매월동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000005,첨단09,첨단09,22,00001272,동천마을3단지,29,29140,2914013300,광주광역시,서구,동천동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000005,첨단09,첨단09,23,00000573,유덕초교,29,29140,2914011600,광주광역시,서구,유촌동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000005,첨단09,첨단09,24,00000058,광명하이츠후문,29,29140,2914011800,광주광역시,서구,쌍촌동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000005,첨단09,첨단09,25,00000110,광주종합버스터미널,29,29140,2914011500,광주광역시,서구,광천동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000005,첨단09,첨단09,26,00002872,현대자동차,29,29140,2914011500,광주광역시,서구,광천동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000005,첨단09,첨단09,56,00002873,현대자동차,29,29140,2914011500,광주광역시,서구,광천동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000005,첨단09,첨단09,57,00000109,광주종합버스터미널,29,29140,2914011500,광주광역시,서구,광천동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000005,첨단09,첨단09,58,00000057,광명하이츠후문,29,29140,2914012100,광주광역시,서구,내방동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000005,첨단09,첨단09,59,00001121,유덕초교,29,29140,2914011800,광주광역시,서구,쌍촌동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,30,00002873,현대자동차,29,29140,2914011500,광주광역시,서구,광천동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,31,00000109,광주종합버스터미널,29,29140,2914011500,광주광역시,서구,광천동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,32,00000184,기아차중문,29,29140,2914012100,광주광역시,서구,내방동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,33,00000057,광명하이츠후문,29,29140,2914012100,광주광역시,서구,내방동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,34,00000574,버들마을,29,29140,2914011600,광주광역시,서구,유촌동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,35,00000029,계수,29,29140,2914011600,광주광역시,서구,유촌동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,36,00000850,시청,29,29140,2914012000,광주광역시,서구,치평동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,37,00002832,한국은행,29,29140,2914012000,광주광역시,서구,치평동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,38,00002836,한국국토정보공사,29,29140,2914012000,광주광역시,서구,치평동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,39,00002965,한국수자원공사,29,29140,2914012000,광주광역시,서구,치평동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,40,00002877,농협운천지점,29,29140,2914012000,광주광역시,서구,치평동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,41,00000719,상무지구입구,29,29140,2914012000,광주광역시,서구,치평동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,42,00001067,운천역,29,29140,2914011800,광주광역시,서구,쌍촌동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,43,00001493,서광주세무서,29,29140,2914011800,광주광역시,서구,쌍촌동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,44,00000922,쌍촌역,29,29140,2914011800,광주광역시,서구,쌍촌동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,45,00000905,가톨릭대평생교육원,29,29140,2914011800,광주광역시,서구,쌍촌동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,46,00000740,서광주우체국,29,29140,2914011900,광주광역시,서구,화정동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,47,00001542,염주사거리(서),29,29140,2914011900,광주광역시,서구,화정동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,48,00000969,염주초교,29,29140,2914011900,광주광역시,서구,화정동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,49,00001242,염주체육관,29,29140,2914011900,광주광역시,서구,화정동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,50,00001095,월드컵경기장,29,29140,2914012800,광주광역시,서구,풍암동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,51,00001266,금호모아아파트,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,52,00000749,금호도개공아파트,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,53,00000771,서창농협,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,54,00001238,마재종원아파트,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,55,00001504,광주중,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,59,00001758,공구단지,29,29140,2914013200,광주광역시,서구,매월동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,60,00001759,화훼단지,29,29140,2914013200,광주광역시,서구,매월동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,61,00001760,대동고,29,29140,2914013200,광주광역시,서구,매월동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,62,00001723,매월동(북),29,29140,2914013200,광주광역시,서구,매월동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,63,00001723,매월동(북),29,29140,2914013200,광주광역시,서구,매월동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,64,00001724,대동고,29,29140,2914013200,광주광역시,서구,매월동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,65,00002995,화훼단지,29,29140,2914013200,광주광역시,서구,매월동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,67,00001506,광주중,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,68,00001239,마재종원아파트,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,69,00003543,만호초교,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,70,00000772,서창농협,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,71,00000747,금호도개공아파트,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,72,00001267,금호모아아파트,29,29140,2914013000,광주광역시,서구,금호동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,73,00001094,월드컵경기장,29,29140,2914012800,광주광역시,서구,풍암동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,74,00001243,염주체육관,29,29140,2914011900,광주광역시,서구,화정동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,75,00000970,염주초교,29,29140,2914011900,광주광역시,서구,화정동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,76,00000968,염주사거리(서),29,29140,2914011900,광주광역시,서구,화정동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
20250801,00000007,매월16,매월16,77,00000741,서광주우체국,29,29140,2914011900,광주광역시,서구,화정동,B,,,tago_route_specific_stop,not_provided_by_api,,,,
