coordinate_station_id,coordinate_station_name,normalized_station_name,line,latitude,longitude,api_station_id,external_code,source
159,동묘앞,동묘앞,1,37.573265,127.016459,0159,127,seoul_openapi
158,청량리,청량리,1,37.580148,127.045063,0158,124,seoul_openapi
157,제기동,제기동,1,37.578116,127.034902,0157,125,seoul_openapi
156,신설동,신설동,1,37.576117,127.02471,0156,126,seoul_openapi
155,동대문,동대문,1,37.57179,127.011383,0155,128,seoul_openapi
154,종로5가,종로5가,1,37.570971,127.0019,0154,129,seoul_openapi
153,종로3가,종로3가,1,37.570429,126.992095,0153,130,seoul_openapi
152,종각,종각,1,37.570203,126.983116,0152,131,seoul_openapi
151,시청,시청,1,37.56359,126.975407,0151,132,seoul_openapi
150,서울,서울,1,37.55315,126.972533,0150,133,seoul_openapi
214,강변,강변,2,37.535161,127.094684,0214,214,seoul_openapi
207,상왕십리,상왕십리,2,37.564504,127.028872,0207,207,seoul_openapi
221,역삼,역삼,2,37.500658,127.03643,0221,221,seoul_openapi
224,서초,서초,2,37.49191,127.007945,0224,224,seoul_openapi
211,성수,성수,2,37.544628,127.055983,0211,211,seoul_openapi
250,용두,용두,2,37.574012,127.03811,0250,211-3,seoul_openapi
249,신정네거리,신정네거리,2,37.520218,126.852849,0249,234-3,seoul_openapi
248,양천구청,양천구청,2,37.512194,126.865193,0248,234-2,seoul_openapi
247,도림천,도림천,2,37.514759,126.882586,0247,234-1,seoul_openapi
246,신설동,신설동,2,37.574653,127.025158,0246,211-4,seoul_openapi
245,신답,신답,2,37.56147,127.056348,0245,211-2,seoul_openapi
244,용답,용답,2,37.566412,126.977863,0244,211-1,seoul_openapi
205,동대문역사문화공원,동대문역사문화공원,2,37.565597,127.009113,0205,205,seoul_openapi
202,을지로입구,을지로입구,2,37.565998,126.982569,0202,202,seoul_openapi
223,교대,교대,2,37.493957,127.014631,0223,223,seoul_openapi
201,시청,시청,2,37.563534,126.975271,0201,201,seoul_openapi
243,충정로,충정로,2,37.559742,126.964455,0243,243,seoul_openapi
242,아현,아현,2,37.557407,126.956079,0242,242,seoul_openapi
241,이대,이대,2,37.556734,126.945897,0241,241,seoul_openapi
240,신촌,신촌,2,37.555153,126.93689,0240,240,seoul_openapi
239,홍대입구,홍대입구,2,37.556748,126.923643,0239,239,seoul_openapi
208,왕십리,왕십리,2,37.561159,127.035505,0208,208,seoul_openapi
209,한양대,한양대,2,37.55658,127.043504,0209,209,seoul_openapi
210,뚝섬,뚝섬,2,37.54718,127.047413,0210,210,seoul_openapi
