opr_ymd,stop_id,stop_name,sttn_ars_no,city_code,sgg_cd,emd_cd,ctpv_nm,sgg_nm,emd_nm,latitude,longitude,source,coordinate_status,match_type,region_code_used
20250801,00000496,상무호반3차,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000516,화정무등파크,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000571,광주학생독립운동기념관,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000573,유덕초교,~,29,29140,2914011600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000574,버들마을,~,29,29140,2914011600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000634,마재부영아파트,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000635,마재부영아파트,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000687,전남고입구,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000699,삼우아파트,~,29,29140,2914012100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000700,삼우아파트,~,29,29140,2914012100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000715,상공회의소,~,29,29140,2914010600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000716,상공회의소,~,29,29140,2914010600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000719,상무지구입구,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000720,상무1동행정복지센터,~,29,29140,2914012100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000721,상무1동행정복지센터,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000722,상무지구,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000725,상무병원,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000726,상무병원,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000729,상무역,~,29,29140,2914013100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000730,상무역,~,29,29140,2914013100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000731,상무중,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000732,상무중,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000736,풍암한신아파트,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000737,풍암한신아파트,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000740,서광주우체국,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000741,서광주우체국,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000746,서구문화센터,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000747,금호도개공아파트,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
