ground_truth,count,mean_m,median_m,p25_m,p75_m,p90_m,p95_m
walk,58225,119.34884545657366,71.92159899709061,31.81719603466969,164.48803214324198,293.8257307557664,382.5834395025946
bike,5083,97.51020545845773,62.00449335564376,31.052072630754672,119.4798756335791,238.95144383720458,308.7957226867407
car,2728,92.12888941537828,59.64059364643364,30.233678108979117,118.31242381861489,230.97814550013072,284.3926965151488
bus,7068,107.52580766517173,86.5719058723729,50.029650023834606,135.52477153600677,211.00143918328885,275.19314019422075
rail,2901,95.33815960235721,77.92591562446596,48.166014750799164,118.41010337794916,171.2414136287231,239.71465275825835
