radius_m,count,gt_bus_count,gt_bus_rate,precision,non_bus_activation
50,28596,1766,0.24985851726089417,0.06175688907539516,26830
75,38808,2996,0.42388228636106395,0.0772005772005772,35812
100,46768,4130,0.5843237125070742,0.08830824495381458,42638
125,52406,4993,0.7064233163554047,0.09527535015074609,47413
150,56668,5666,0.8016411997736276,0.0999858826851133,51002
200,62369,6280,0.8885116015846066,0.10069104843752505,56089
