ground_truth,prediction,count
bus,rail,5320
walk,car,2458
bike,rail,1891
car,rail,1161
walk,rail,956
bike,walk,926
bus,car,584
bike,car,583
bus,bike,538
car,bus,453
car,bike,299
rail,car,279
bike,bus,257
car,walk,181
rail,bus,156
bus,walk,130
rail,bike,67
walk,bus,44
walk,bike,43
